City,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed,Country,Date
"b""Krasnosel'kup""",65.7,82.47,29.64,98,100,16.13,RU,1602896931
b'Kasempa',-13.46,25.83,66.34,57,0,6.17,ZM,1602896931
b'Nouadhibou',20.93,-17.03,78.8,54,0,17.22,MR,1602896931
b'Tibacuy',4.35,-72.46,79.54,71,57,1.77,CO,1602896931
b'Asopo\xcc\x81s',36.73,22.87,72.25,90,51,7.2,GR,1602896931
"b""Arman'""",59.7,150.17,33.46,75,0,3.44,RU,1602896931
b'Muriwai Beach',-36.82,174.45,63,60,0,8.99,NZ,1602896709
b'Bluff',-46.6,168.33,55,60,30,7,NZ,1602896932
b'Hithadhoo',-0.6,73.08,83.53,72,18,20.8,MV,1602896932
b'Hong Kong',22.29,114.16,78.01,72,7,1.01,HK,1602896646
b'Salino\xcc\x81polis',-0.61,-47.36,80.51,78,74,12.35,BR,1602896932
b'Aginskoye',51.1,114.53,31.44,86,0,18.34,RU,1602896932
b'Katsuura',35.13,140.3,55.4,93,75,12.75,JP,1602896932
b'Ribeira Grande',38.52,-28.7,64.04,69,82,10.36,PT,1602896932
b'Brazzaville',-4.27,15.28,75.2,94,100,2.24,CG,1602896932
b'Bredasdorp',-34.53,20.04,53.6,93,100,1.12,ZA,1602896701
b'Hobart',-42.88,147.33,52,70,75,4.7,AU,1602896764
b'Mahe\xcc\x81bourg',-20.41,57.7,68,94,20,5.82,MU,1602896935
b'Mar del Plata',-38,-57.56,57,100,90,11.41,AR,1602896935
b'Kutum',14.2,24.67,74.95,20,0,8.48,SD,1602896936
b'Balkanabat',39.51,54.37,55.65,36,0,4.14,TM,1602896936
b'Nouakchott',18.09,-15.98,89.6,27,9,13.87,MR,1602896936
b'Codrington',-38.27,141.97,56.71,85,81,17.52,AU,1602896936
b'Torbay',47.67,-52.73,48.2,100,90,2.24,CA,1602896711
b'Atuona',-9.8,-139.03,78.78,73,2,18.32,PF,1602896936
b'Baracoa',20.35,-74.5,80.83,83,94,5.61,CU,1602896936
b'Lu\xcc\x88deritz',-26.65,15.16,67.86,40,0,12.46,NA,1602896936
b'Busselton',-33.65,115.33,61,68,0,5.99,AU,1602896936
b'Cururupu',-1.83,-44.87,76.12,87,30,3.29,BR,1602896936
b'Coyhaique',-45.58,-72.07,55.4,58,20,3.36,CL,1602896937
b'Dunedin',-45.87,170.5,48,61,75,23,NZ,1602896876
b'San Patricio',28.02,-97.52,62.6,82,90,14.99,US,1602896937
b'Cortez',37.35,-108.59,66.2,11,1,11.41,US,1602896937
b'Pozo Colorado',-23.49,-58.8,79.36,55,12,4.45,PY,1602896937
b'Bubaque',11.28,-15.83,82.36,85,100,9.98,GW,1602896937
b'Troitskoye',52.98,84.68,42.24,70,60,10.51,RU,1602896937
b'Inyonga',-6.72,32.07,67.66,60,3,4.76,TZ,1602896937
b'Rikitea',-23.12,-134.97,74.48,80,100,18.48,PF,1602896937
b'Zhigansk',66.77,123.37,18.23,91,96,5.23,RU,1602896809
b'Grimmen',54.11,13.04,48,93,75,4.7,DE,1602896937
b'Kidal',18.44,1.41,85.84,15,0,2.64,ML,1602896937
b'Rock Sound',24.9,-76.2,83.19,79,100,11.16,BS,1602896938
b'Arraial do Cabo',-22.97,-42.03,70.03,73,100,7.34,BR,1602896938
b'Kapaa',22.08,-159.32,84.2,70,20,13.87,US,1602896938
b'Orlik',52.52,99.83,22.28,89,100,4.12,RU,1602896938
b'Baruun-Urt',46.68,113.28,40.51,65,100,7.07,MN,1602896938
b'Arrondissement de Rochefort',45.92,-1,48.2,81,90,8.05,FR,1602896938
b'Puerto Ayora',-0.74,-90.35,70,91,93,5.01,EC,1602896697
b'Pampa',35.54,-100.96,60.8,21,1,11.41,US,1602896938
b'Margate',51.38,1.39,51.01,70,100,1.99,GB,1602896938
b'New Norfolk',-42.78,147.06,50,71,100,1.9,AU,1602896938
b'San Cristobal',7.77,-72.22,66.83,88,87,3.42,VE,1602896938
b'Vestmannaeyjar',63.44,-20.27,44.96,67,100,6.02,IS,1602896939
b'Cherskiy',68.75,161.3,27.59,98,100,4.47,RU,1602896939
b'Awjilah',29.11,21.29,79.18,27,0,13.69,LY,1602896939
b'Killam',52.78,-111.85,26.01,67,100,12.39,CA,1602896939
b'Mayo',38.89,-76.51,55.99,93,90,3.36,US,1602896939
b'Matara',5.95,80.54,77.47,83,36,10.51,LK,1602896939
b'Pevek',69.7,170.31,36.34,82,0,11.86,RU,1602896939
b'Bethel',41.37,-73.41,48.2,93,90,5.82,US,1602896695
b'Nex\xc3\xb8',55.06,15.13,46.4,100,90,2.24,DK,1602896939
b'Jackson',42.42,-122.83,82.4,20,1,0.54,US,1602896939
b'Vila Franca do Campo',37.72,-25.43,64.4,82,75,9.17,PT,1602896939
b'Bilma',18.69,12.92,81.73,19,0,3.36,NE,1602896943
b'Iranshahr',27.2,60.68,60.8,9,0,2.95,IR,1602896943
b'Trelew',-43.25,-65.31,74.05,36,0,10.69,AR,1602896943
b'Butaritari',3.07,172.79,81.73,76,0,13.35,KI,1602896943
b'Takoradze',4.88,-1.76,75.9,90,98,7.94,GH,1602896943
b'Lavrentiya',65.58,-171,39.31,95,100,21.21,RU,1602896943
b'Juba',4.85,31.58,71.56,91,100,3.67,SS,1602896726
b'Nicola\xcc\x81s Bravo',18.45,-88.92,75.2,100,40,2.17,MX,1602896944
b'Quatre Cocos',-20.21,57.76,68,94,20,5.82,MU,1602896729
b'Olafsvik',64.89,-23.71,46.35,85,100,2.3,IS,1602896944
b'Sambava',-14.27,50.17,69.71,86,4,8.86,MG,1602896944
b'Ledyard Center',41.44,-72.01,55.4,93,90,12.75,US,1602896794
b'Lagoa',39.05,-27.98,63.68,63,44,8.16,PT,1602896944
b'East London',-33.02,27.91,65.25,79,0,16.71,ZA,1602896944
b'Dingzhou',38.51,115,51.8,53,0,4.47,CN,1602896944
b'Dighwa\xcc\x84ra',25.73,85,77,88,0,3.56,IN,1602896944
b'Cockburn Town',21.46,-71.14,83.93,78,99,19.75,TC,1602896731
b'Dingle',11,122.67,83.61,73,50,2.35,PH,1602896944
b'Hilo',19.73,-155.09,87.8,58,1,13.87,US,1602896944
b'Lucea',18.45,-78.17,84.2,79,20,4.7,JM,1602896944
b'Lovozero',68,35.01,27.82,97,100,6.58,RU,1602896945
b'Qaanaaq',77.48,-69.36,30.22,87,88,6.31,GL,1602896945
b'Ahipara',-35.17,173.17,60.55,54,0,5.03,NZ,1602896945
b'Tambacounda',13.75,-13.76,77,73,20,11.41,SN,1602896945
b'Newnan',33.38,-84.8,60.8,51,1,6.93,US,1602896945
b'Bengkulu',-3.8,102.27,79.23,79,91,2.84,ID,1602896945
b'Vaini',-21.2,-175.2,77,83,75,12.75,TO,1602896945
b'Dikson',73.51,80.55,19.76,95,4,13.13,RU,1602896945
b'Punta Arenas',-53.15,-70.92,39.2,86,75,8.05,CL,1602896945
b'Sunbury',-37.58,144.73,64.99,82,75,13.87,AU,1602896945
b'Yellowknife',62.46,-114.35,26.01,92,90,16.11,CA,1602896946
b'Ulladulla',-35.35,150.47,72,60,40,4.7,AU,1602896946
b'Chitral',35.85,71.79,55.35,36,0,0.98,PK,1602896779
b'Chokurdakh',70.63,147.92,30.31,99,100,9.13,RU,1602896946
b'Qandala',11.47,49.87,79.77,49,0,1.79,SO,1602896794
b'Hofn',64.25,-15.21,45.3,67,100,10.83,IS,1602896946
b'Motygino',58.18,94.76,30.61,95,100,6.98,RU,1602896946
b'Tura',25.52,90.22,74.37,91,51,3.22,IN,1602896946
b'Colares',38.8,-9.45,57.99,71,100,5.73,PT,1602896877
b'Norman Wells',65.28,-126.83,21.2,73,90,16.11,CA,1602896946
b'Nanortalik',60.14,-45.24,41.14,76,100,11.59,GL,1602896727
b'Panaba\xcc\x81',21.28,-88.27,76.19,91,34,6.11,MX,1602896946
b'Lata',40.16,-8.33,53.01,90,100,0.56,PT,1602896947
b'Sotnikovo',51.88,107.48,33.8,50,13,6.71,RU,1602896947
b'Jamame',0.07,42.75,76.96,82,68,8.01,SO,1602896947
b'Baiyin',36.56,104.21,50,55,0,4.47,CN,1602896947
b'Sur',22.57,59.53,79.84,53,0,14.92,OM,1602896950
b'Merauke',-8.47,140.33,85.24,55,99,9.82,ID,1602896950
b'Skelleftea\xcc\x8a',64.75,20.95,41,86,100,10.29,SE,1602896950
b'Athabasca',54.72,-113.29,24.26,72,62,8.81,CA,1602896775
b'Kamenka',51.32,42.77,46,90,2,6.55,RU,1602896950
b'Nossa Senhora da Glo\xcc\x81ria',-10.22,-37.42,66.61,97,0,6.55,BR,1602896950
b'Vard\xc3\xb8',70.37,31.11,37.29,76,100,9.17,NO,1602896950
b'Mount Isa',-20.73,139.5,91.4,15,0,14.99,AU,1602896746
b'Sulangan',11.14,123.72,83.39,74,93,4.83,PH,1602896951
b'Narsaq',60.92,-46.05,39.2,70,100,2.24,GL,1602896951
b'Vila Velha',-20.33,-40.29,71.01,83,100,5.82,BR,1602896951
b'Nyurba',63.28,118.33,20.08,91,38,8.81,RU,1602896951
b'Hay River',60.82,-115.8,24.8,85,90,21.92,CA,1602896749
b'Los Lunas',34.81,-106.73,69.8,16,1,3.36,US,1602896951
b'Almaznyy',48.04,40.05,53.6,76,0,4.47,RU,1602896951
b'Koungou',-12.73,45.2,78.8,78,8,5.82,YT,1602896951
b'Lima',-12.04,-77.03,64.4,82,90,13.87,PE,1602896951
b'Kaitangata',-46.28,169.85,50,65,99,11.01,NZ,1602896704
b'Clyde River',70.47,-68.59,33.8,100,90,12.75,CA,1602896951
b'Caluquembe',-13.78,14.68,62.44,88,100,1.54,AO,1602896951
b'Albany',42.6,-73.97,46.99,89,100,3.96,US,1602896696
b'Port Blair',11.67,92.75,81.1,79,100,7.83,IN,1602896952
b'Birjand',32.87,59.22,37.4,23,0,9.17,IR,1602896952
b'Yeppoon',-23.13,150.73,80.6,39,75,10.29,AU,1602896952
b'Sa\xcc\x83o Filipe',14.9,-24.5,80.56,80,100,4.21,CV,1602896952
b'Bambous Virieux',-20.34,57.76,68,94,20,5.82,MU,1602896952
b'Sabha',27.04,14.43,79.75,17,32,16.28,LY,1602896952
b'Kavieng',-2.57,150.8,84.13,72,100,11.97,PG,1602896952
b'Yulara',-25.24,130.99,84.2,30,13,14.99,AU,1602896952
b'Tsiroanomandidy',-18.77,46.03,66.7,83,25,2.3,MG,1602896952
b'Cap Malheureux',-19.98,57.61,68,94,20,5.82,MU,1602896952
b'Jiangyou',31.77,104.72,57.61,77,100,1.57,CN,1602896952
b'Yueyang',29.33,113.09,59.72,85,98,10.33,CN,1602896953
b'Maxixe',-23.86,35.35,70.93,76,100,9.01,MZ,1602896953
b'Lebu',-37.62,-73.65,50.83,93,90,2.42,CL,1602896722
b'Mariana',-20.38,-43.42,63.99,85,99,3.89,BR,1602896953
b'Bure\xcc\x84',10.7,37.07,53.73,90,18,4.07,ET,1602896953
b'Broome',42.25,-75.83,39.99,80,20,4.7,US,1602896953
b'Fortuna',40.6,-124.16,66,63,20,11.41,US,1602896953
b'Pangnirtung',66.15,-65.71,37.8,84,100,5.03,CA,1602896953
b'Naze',28.37,129.48,78.8,74,20,9.17,JP,1602896692
b'Cape Town',-33.93,18.42,55.99,93,49,4.7,ZA,1602896695
b'Barrow',71.29,-156.79,17.6,72,1,25.28,US,1602896953
b'Chui',-33.7,-53.46,56.84,91,0,10.49,UY,1602896954
b'Canandaigua',42.87,-77.29,39,99,0,4.36,US,1602896954
b'Gigmoto',13.78,124.39,85.41,68,59,1.66,PH,1602896739
b'Hargeisa',9.56,44.06,68.54,44,24,2.04,SO,1602896735
b'Kupang',-10.17,123.58,86,62,20,6.93,ID,1602896957
b'Maraba\xcc\x81',-5.37,-49.12,76.05,88,32,2.84,BR,1602896957
b'Tadine',-21.55,167.88,73.53,71,53,17.34,NC,1602896957
b'Belyy Yar',53.6,91.39,33.8,78,34,2.24,RU,1602896957
b'Aksu',41.12,80.26,46.11,51,0,1.14,CN,1602896747
b'Rafai',4.95,23.92,66.33,98,42,1.39,CF,1602896957
b'Cooma',-36.23,149.13,64.4,59,75,19.46,AU,1602896958
b'Casas Grandes',30.37,-107.95,72,29,0,1.01,MX,1602896958
b'Zhangzhou',24.51,117.66,75.2,64,91,11.18,CN,1602896958
b'Port Augusta',-32.5,137.77,63,82,90,16.11,AU,1602896958
b'Ustka',54.58,16.86,47.17,75,92,5.44,PL,1602896958
b'Kruisfontein',-34,24.73,57.99,95,56,1.01,ZA,1602896709
b'San Miguel de Tucuma\xcc\x81n',-26.82,-65.22,77,50,43,6.93,AR,1602896958
b'Dobryanka',58.46,56.42,32,93,90,4.47,RU,1602896958
b'Mikuni',36.22,136.15,57.2,76,75,3.36,JP,1602896743
b'Nuuk',64.18,-51.72,42.8,87,100,32.21,GL,1602896958
b'Chauk',20.88,94.82,78.82,86,100,0.16,MM,1602896958
b'Umuarama',-23.77,-53.33,69.93,79,0,5.57,BR,1602896799
b'Galveston',29.37,-94.97,66,72,90,12.75,US,1602896959
b'Killorglin',52.1,-9.78,44.49,84,99,9.1,IE,1602896959
b'Longyearbyen',78.22,15.64,26.6,63,40,13.87,SJ,1602896698
b'Beringovskiy',63.05,179.32,40.91,84,97,5.5,RU,1602896959
b'Oddur',4.12,43.89,71.33,82,0,15.93,SO,1602896959
b'Faanui',-16.48,-151.75,79.02,80,100,10.18,PF,1602896710
b'S\xc3\xb8rland',67.67,12.69,45.84,82,100,23.51,NO,1602896715
b'Cidreira',-30.18,-50.21,64.27,78,0,19.19,BR,1602896959
b'Pampas',-12.4,-74.9,50.58,75,92,4.76,PE,1602896959
b'Makat',47.65,53.35,54.72,38,23,7.38,KZ,1602896960
b'Haines Junction',60.75,-137.51,24.57,67,0,6.91,CA,1602896732
b'Tonj',7.27,28.68,72.46,93,100,3.44,SS,1602896721
b'Kailua',21.4,-157.74,87.8,55,20,9.17,US,1602896960
b'Sa\xcc\x83o Sebastia\xcc\x83o',-23.76,-45.41,65.95,78,46,1.99,BR,1602896960
b'Shimoda',34.67,138.95,57.2,93,75,19.46,JP,1602896960
b'Cabo San Lucas',22.89,-109.91,86,66,5,3.36,MX,1602896727
b'Thompson',55.74,-97.86,28.4,79,90,9.17,CA,1602896960
b'Bosaso',11.28,49.18,79.25,57,0,2.46,SO,1602896960
b'Paamiut',61.99,-49.67,42.69,75,100,37.78,GL,1602896960
b'Kobayashi',31.98,130.98,60.8,100,75,3.36,JP,1602896960
b'Nikolskoye',59.7,30.79,39.2,69,90,2.98,RU,1602896704
b'Esik',43.36,77.45,37.4,74,20,2.24,KZ,1602896964
b'Ancud',-41.87,-73.82,51.8,76,97,9.17,CL,1602896964
b'Nemuro',43.32,145.57,55.4,58,20,4.7,JP,1602896964
b'Montevideo',-34.83,-56.17,68,64,0,13.87,UY,1602896862
b'Kavaratti',10.57,72.64,81.55,76,3,16.75,IN,1602896724
b'Deming',32.27,-107.76,75.2,19,1,10.29,US,1602896964
b'Portland',45.52,-122.68,66,55,75,5.82,US,1602896188
b'Salisbury',51.07,-1.8,50,81,20,6.93,GB,1602896731
b'Yangjiang',21.85,111.97,72.21,74,89,15.59,CN,1602896964
b'Saskylakh',71.92,114.08,4.66,93,100,3.53,RU,1602896703
b'Talnakh',69.49,88.4,15.8,85,85,8.95,RU,1602896964
b'Tatui\xcc\x81',-23.36,-47.86,64.99,64,89,5.99,BR,1602896835
b'Umluj',25.02,37.27,83.62,44,0,8.63,SA,1602896964
b'Kingaroy',-26.53,151.83,75.2,47,25,8.05,AU,1602896964
b'Brae',60.4,-1.35,44.6,87,100,9.17,GB,1602896965
b'Sa\xcc\x83o Fe\xcc\x81lix do Xingu',-6.64,-51.99,80.82,44,33,1.07,BR,1602896965
b'Thunder Bay',48.4,-89.32,34,59,90,3.36,CA,1602896815
b'Geraldton',-28.77,114.6,68,49,90,12.75,AU,1602896965
b'Souillac',-20.52,57.52,68,94,20,5.82,MU,1602896965
b'San Buenaventura',27.08,-101.53,73,35,24,3,MX,1602896965
b'Tasiilaq',65.61,-37.64,37.4,64,88,25.28,GL,1602896713
b'Krasnoborsk',61.56,45.93,33.91,94,100,10.27,RU,1602896965
b'Northam',51.03,-4.22,48.99,84,0,3,GB,1602896965
b'Ilulissat',69.22,-51.1,48.2,57,100,14.99,GL,1602896965
b'Henties Bay',-22.12,14.28,57,94,69,4.52,NA,1602896741
b'Yomou',7.56,-9.27,69.19,99,80,0.63,GN,1602896965
b'Pangoa',-12.12,-73,67.21,94,5,2.75,PE,1602896965
b'Bathsheba',13.22,-59.52,78.8,88,40,11.41,BB,1602896966
b'Kismayo',-0.36,42.55,78.39,82,20,12.71,SO,1602896966
b'San Rafael',-34.62,-68.33,75.18,42,100,8.77,AR,1602896811
b'Petropavlovsk-Kamchatskiy',53.05,158.65,44.6,71,40,4.47,RU,1602896966
b'Mago',53.25,140.18,40.62,63,0,7.47,RU,1602896966
b'Bac Lieu',9.29,105.72,81.23,81,100,10.83,VN,1602896966
b'DeKalb County',33.75,-84.23,57.99,58,1,9.17,US,1602896964
b'Poum',-20.23,164.02,73.29,78,25,7.72,NC,1602896751
b'Kaeo',-35.1,173.78,64.99,59,0,5.99,NZ,1602896966
b'Alyangula',-13.85,136.42,86,58,40,6.93,AU,1602896966
b'Diffa',13.32,12.61,84.42,32,69,2.57,NE,1602896966
b'Viedma',-40.81,-63,77,47,0,8.01,AR,1602896966
b'Sosnovo-Ozerskoye',52.52,111.54,24.85,86,37,14.99,RU,1602896966
b'Yeniseysk',58.45,92.17,37.04,88,100,8.16,RU,1602896967
b'Halifax',44.65,-63.57,52,98,87,1.01,CA,1602896754
b'Kenai',60.55,-151.26,37.99,51,20,6.93,US,1602896967
b'Deder',9.32,41.45,55.17,57,5,2.24,ET,1602896967
b'Koumac',-20.57,164.28,74.68,73,61,12.93,NC,1602896967
b'Lompoc',34.64,-120.46,78.8,34,1,11.41,US,1602896720
b'Barcelos',41.54,-8.62,51.8,93,100,3.36,PT,1602896967
b'Verkh-Usugli',52.7,115.17,27.3,71,0,8.86,RU,1602896970
b'Ayan',56.45,138.17,35.96,76,6,4.41,RU,1602896970
b'Itarema',-2.92,-39.92,78.26,79,0,13.4,BR,1602896970
b'Znamenskoye',57.13,73.83,44.78,81,100,8.21,RU,1602896971
b'Homer',59.64,-151.55,46,56,1,14.99,US,1602896971
b'Richards Bay',-28.78,32.04,66.83,84,45,4.61,ZA,1602896971
b'Gardner',42.58,-72,48.99,97,100,1.01,US,1602896971
b'Saint-Philippe',-21.36,55.77,71.6,60,2,8.05,RE,1602896971
b'Iracoubo',5.48,-53.2,80.29,75,73,11.88,GF,1602896971
b'Ketchikan',55.34,-131.65,51.8,70,40,9.17,US,1602896722
b'Biak',-0.91,122.88,76.33,88,100,7.05,ID,1602896971
b'Magdagachi',53.45,125.8,33.69,86,34,8.88,RU,1602896971
b'Stephenville',32.22,-98.2,59,44,1,3.36,US,1602896971
b'Kahului',20.89,-156.47,91.4,49,40,9.17,US,1602896709
b'Gizo Government Station',-8.1,156.84,84.76,68,61,2.91,SB,1602896804
b'Grindavik',63.84,-22.43,41,100,75,8.05,IS,1602896971
b'Phan Thiet',10.93,108.1,76.05,92,100,6.98,VN,1602896972
b'Tommot',58.96,126.29,22.41,90,100,11.86,RU,1602896972
b'Ascension',30.22,-90.9,61,87,40,5.93,US,1602896972
b'Marsaxlokk',35.84,14.54,64.99,67,20,12.75,MT,1602896972
b'Saint-Joseph',-21.37,55.62,71.6,60,3,8.05,RE,1602896972
b'Oranjemund',-28.55,16.43,60.03,77,0,8.14,NA,1602896972
b'Santa Vito\xcc\x81ria do Palmar',-33.52,-53.37,57.45,89,0,10.49,BR,1602896972
b'Iqaluit',63.75,-68.51,33.8,100,90,8.05,CA,1602896972
b'Klyuchi',52.27,79.17,46.09,54,100,11.1,RU,1602896972
b'Burnie',-41.07,145.92,51.01,86,100,10,AU,1602896972
b'Ambilobe',-13.2,49.05,70.18,77,5,2.89,MG,1602896704
b'Anjozorobe',-18.4,47.87,62.6,93,75,4.7,MG,1602896972
b'Puerto Colombia',10.99,-74.95,84.2,83,40,10.29,CO,1602896973
b'San Quinti\xcc\x81n',30.48,-115.95,74.16,65,1,9.82,MX,1602896973
b'Beloha',-25.17,45.05,65.26,80,59,11.97,MG,1602896973
b'Imbituba',-28.24,-48.67,66.2,77,55,6.93,BR,1602896951
b'Kununurra',-15.77,128.73,87.8,58,0,11.41,AU,1602896973
b'Gwadar',25.12,62.33,76.28,25,0,12.33,PK,1602896973
b'Provideniya',64.38,-173.3,40.62,84,0,11.9,RU,1602896973
b'Marawi',8,124.29,78.42,72,16,2.55,PH,1602896973
b'Namatanai',-3.67,152.43,85.1,64,100,6.87,PG,1602896973
b'Tashla',51.77,52.74,55.74,81,100,13.69,RU,1602896973
b'Oga',46.46,10.35,39,92,90,2.24,IT,1602896973
b'Okhotsk',59.38,143.3,27.03,81,0,11.68,RU,1602896973
b'Gweta',-20.18,25.23,75.15,23,31,11.9,BW,1602896974
b'Innisfail',-17.53,146.03,77.72,67,8,10.8,AU,1602896974
b'Kiryat Gat',31.61,34.76,72,92,0,3.18,IL,1602896974
b'Bonthe',7.53,-12.51,77.85,85,91,2.28,SL,1602896974
b'Casper',42.87,-106.31,60.8,26,1,23.04,US,1602896933
b'Bratsk',56.13,101.61,24.8,85,100,11.18,RU,1602896977
b'Caravelas',-17.71,-39.25,74.41,79,100,11.16,BR,1602896721
b'Laguna de Perlas',12.34,-83.67,79.18,86,90,8.34,NI,1602896977
b'Mackenzie',55.3,-123.17,35.6,55,90,3.36,CA,1602896977
b'Gloversville',43.05,-74.34,45,85,100,3,US,1602896977
b'Dakar',14.69,-17.44,82.4,88,75,2.24,SN,1602896914
b'Pitimbu',-7.47,-34.81,77,83,20,4.7,BR,1602896977
b'Te Anau',-45.42,167.72,50.52,64,65,3.6,NZ,1602896962
b'Port Lincoln',-34.73,135.87,56.05,65,98,13.02,AU,1602896978
b'Ankpa',7.37,7.63,72.55,95,100,6.6,NG,1602896978
b'Ponta do Sol',32.67,-17.1,66.2,68,20,6.93,PT,1602896978
b'Kaseda-shirakame',31.42,130.32,60.8,82,75,4.7,JP,1602896978
b'Estelle',29.85,-90.11,66,68,75,12.75,US,1602896978
b'Los Llanos de Aridane',28.66,-17.92,69.8,83,90,5.82,ES,1602896978
b'Barra',-11.09,-43.14,81.97,34,0,10,BR,1602896948
b'Kapoeta',4.77,33.59,77.92,66,23,3.33,SS,1602896978
b'Shaoxing',30.01,120.57,62.6,82,75,6.71,CN,1602896978
b'Agu\xcc\x88imes',27.91,-15.45,71.6,73,75,10.29,ES,1602896978
b'Bilibino',68.05,166.44,30.15,97,100,2.04,RU,1602896978
b'Le Moule',16.33,-61.35,77,94,96,5.82,GP,1602896979
b'Wyndham',37.7,-77.61,55,87,90,4.5,US,1602896979
b'Konya Province',38.17,32.5,50,53,16,2.53,TR,1602896979
b'Borogontsy',62.67,131.17,19.2,94,99,2.35,RU,1602896979
b'Bom Jesus',-9.07,-44.36,81.39,24,0,3.98,BR,1602896979
b'Malakal',9.53,31.66,73.56,85,3,2.68,SS,1602896979
b'Upington',-28.45,21.26,73.4,15,0,3.36,ZA,1602896979
b'Yenotayevka',47.25,47.03,55.99,99,0,4.61,RU,1602896979
b'Makakilo City',21.35,-158.09,86,62,1,9.17,US,1602896734
b'Ambon City',-3.7,128.18,84.2,74,40,3.36,ID,1602896979
b'Brigantine',39.41,-74.36,52,93,90,4.7,US,1602896979
b'Laas',46.62,10.7,45,100,40,5.82,IT,1602896746
b'Madison Heights',42.49,-83.11,48.2,65,1,10.96,US,1602896723
b'Vaasa',63.1,21.62,45,93,100,6.93,FI,1602896980
b'Codaja\xcc\x81s',-3.84,-62.06,79.77,71,85,1.36,BR,1602896980
b'Puerto del Rosario',28.5,-13.86,69.8,68,100,6.93,ES,1602896980
b'Foumban',5.73,10.9,64.26,97,87,1.16,CM,1602896980
b'Port Hardy',50.7,-127.42,51.8,76,75,10.29,CA,1602896980
b'Marau',-28.45,-52.2,58.71,69,0,5.35,BR,1602896980
b'Carman',49.5,-98,30.99,33,100,4.36,CA,1602896980
b'Andenes',69.31,16.12,41,93,75,8.05,NO,1602896980
b'Road Town',18.42,-64.62,80.6,83,75,11.41,VG,1602896823
b'Faya',18.39,42.45,59,28,0,3.44,SA,1602896980
b'Honningsva\xcc\x8ag',70.98,25.97,37.85,75,100,12.75,NO,1602896980
b'Meulaboh',4.14,96.13,78.35,82,98,4.16,ID,1602896980
b'Rawson',-43.3,-65.1,69.66,43,0,12.19,AR,1602896981
b'Iwaki',37.05,140.88,59,89,100,7.05,JP,1602896731
b'Krasnyy Chikoy',50.36,108.75,32.11,85,0,8.99,RU,1602896981
b'Mahibadhoo',3.78,72.97,81.86,77,5,15.66,MV,1602896981
b'Paita',-5.09,-81.11,62.65,89,26,10.47,PE,1602896984
b'Porto-Novo',6.5,2.6,77,88,20,4.7,BJ,1602896984
b'Aksha',50.28,113.29,33.08,80,0,14.34,RU,1602896984
b'Edson',53.58,-116.44,26.6,79,90,4.7,CA,1602896984
b'Zelenoborskiy',66.84,32.36,33.35,95,100,2.01,RU,1602896984
b'Shestakovo',56.49,103.96,27.82,93,100,7.23,RU,1602896984
b'Manzanillo',20.34,-77.12,79.66,80,84,2.06,CU,1602896984
b'A\xcc\x88a\xcc\x88nekoski',62.69,25.82,32,100,20,5.82,FI,1602896985
b'Hirara',24.8,125.28,80.6,74,75,10.29,JP,1602896985
